discipline	perc	type
Other	83.9620293668007	other
Digital Humanities	6.70530095637644	dh
Linguistics	4.10973103288317	ah
Psychology	1.24086991331987	ss
Pedagogical & Educational Research	1.06897102612963	ss
Literature	0.407357275757746	ah
Philosophy	0.347234567023383	ah
Musicology	0.27790616370984	ah
History	0.241383893124214	ah
Media Studies and Communication	0.193476958329236	ah
Library and Information Science	0.187484503266492	ah
Archaeology	0.161604669728537	ah
Anthropology	0.155679165171824	ss
Art and Art History	0.116590073748676	ah
Interdisciplinary research in the Social Sciences	0.11193778312561	ss
History & Philosophy of Science	0.101859423329897	ah
Interdisciplinary research in the Humanities	0.0909776574618187	ah
Political Sciences and International Relations	0.0748560525643045	ss
Business and Management	0.065859289736703	ss
Gender Studies	0.0550437048286091	ss
Religious Studies and Theology	0.0545146419217597	ah
Law	0.0526777355091787	ss
Sociology	0.0412422812607689	ss
Environmental Studies	0.0366034576935136	ss
Human Geography and Urban Studies	0.0341470667136398	ss
Science and Technology Studies	0.0298822425248991	ss
Economics	0.0257413152496169	ss
Social Statistics and Informatics	0.0161604669728537	ss
Cultural Studies	0.01083944083553	ah
Classical Studies	0.00770315592372691	ah
Film and Theatre Studies	0.00738571817961729	ah
Demography	0.00694900079832708	ss
