discipline	perc	type
Other	79.0454923140837	other
Digital Humanities	5.33340257582051	dh
Psychology	4.66784780748609	ss
Linguistics	3.11426999047091	ah
Pedagogical & Educational Research	1.38504448829802	ss
Philosophy	1.14338460162489	ah
Anthropology	0.622886614752786	ss
Literature	0.565166557032727	ah
Media Studies and Communication	0.478044623635608	ah
Business and Management	0.38159101924941	ss
History & Philosophy of Science	0.361088751557955	ah
History	0.2760358964594	ah
Musicology	0.274229100309282	ah
Interdisciplinary research in the Social Sciences	0.267045145427208	ss
Political Sciences and International Relations	0.254422863869269	ss
Economics	0.22838218076066	ss
Archaeology	0.222139537774924	ah
Sociology	0.193086544191395	ss
Library and Information Science	0.189962435950699	ah
Art and Art History	0.17442254650787	ah
Interdisciplinary research in the Humanities	0.155884725272189	ah
Gender Studies	0.149033634538152	ss
Human Geography and Urban Studies	0.0933160541853933	ss
Environmental Studies	0.0689080774508691	ss
Religious Studies and Theology	0.0665917982273922	ah
Law	0.0598947514194708	ss
Demography	0.0557087283302488	ss
Social Statistics and Informatics	0.0509328514236075	ss
Science and Technology Studies	0.0425804764062969	ss
Film and Theatre Studies	0.0346212435950698	ah
Cultural Studies	0.0283208985366754	ah
Classical Studies	0.0162611653510594	ah
