discipline	perc	type
Other	87.2257972766379	ss
Linguistics	6.85990583526757	ah
Pedagogical & Educational Research	1.39353630572032	ss
Psychology	1.22080784789214	ss
Literature	0.822883282797243	ah
Philosophy	0.347234567023381	ah
History	0.339065835741627	ah
Musicology	0.277906163709839	ah
Art and Art History	0.197028798106054	ah
Interdisciplinary research in the Humanities	0.183682176251593	ah
Anthropology	0.155679165171823	ss
Archaeology	0.15182758720996	ah
Media Studies and Communication	0.103553194177861	ah
History & Philosophy of Science	0.0995484765527782	ah
Library and Information Science	0.0937133936565086	ah
Cultural Studies	0.0899406941643936	ah
Film and Theatre Studies	0.08960209390401	ah
Interdisciplinary research in the Social Sciences	0.0791104878814196	ss
Religious Studies and Theology	0.0545146419217595	ah
Gender Studies	0.0509805017040057	ss
Law	0.0485891373650465	ss
Science and Technology Studies	0.0203083201625527	ss
Political Sciences and International Relations	0.0192155647767693	ss
Business and Management	0.0134778294553599	ss
Sociology	0.0126474892713738	ss
Environmental Studies	0.0126051642388258	ss
Social Statistics and Informatics	0.0126051642388258	ss
Economics	0.00796480157947785	ss
Classical Studies	0.00770315592372689	ah
Human Geography and Urban Studies	0.00694900079832705	ss
Demography	0.00161604669728536	ss
