discipline	perc	type
Other	83.5090361445757	ss
Linguistics	4.84387519288963	ah
Psychology	4.55157813107918	ss
Pedagogical & Educational Research	1.64692534505834	ss
Philosophy	1.13530631145267	ah
Literature	0.84197782509345	ah
Anthropology	0.622886614752766	ss
History & Philosophy of Science	0.359934710104776	ah
History	0.306430463232229	ah
Musicology	0.274229100309274	ah
Media Studies and Communication	0.268499546776439	ah
Archaeology	0.221620219120991	ah
Interdisciplinary research in the Humanities	0.19878621629374	ah
Interdisciplinary research in the Social Sciences	0.190589899154756	ss
Art and Art History	0.1879825335826	ah
Gender Studies	0.149033634538148	ss
Political Sciences and International Relations	0.100329478834877	ss
Religious Studies and Theology	0.0667360534090363	ah
Sociology	0.0632280296735513	ss
Law	0.0546727138438795	ss
Film and Theatre Studies	0.05279739648248	ah
Economics	0.0513089452900406	ss
Social Statistics and Informatics	0.0419890301615466	ss
Science and Technology Studies	0.0398973300276779	ss
Human Geography and Urban Studies	0.0388308720776512	ss
Cultural Studies	0.0377551874163308	ah
Environmental Studies	0.036234278808021	ss
Demography	0.0349359821732059	ss
Business and Management	0.0331426279831961	ss
Library and Information Science	0.0243574874209474	ah
Classical Studies	0.0150926983797253	ah
