discipline	perc	type
Other	85.4799874376234	other
Digital Humanities	4.51198660013256	dh
Linguistics	3.98182859003946	ah
Psychology	1.56004861399702	ss
Pedagogical & Educational Research	0.976344031443997	ss
Library and Information Science	0.785258000772527	ah
Philosophy	0.292997472569651	ah
Literature	0.258372009165879	ah
Archaeology	0.234820701896807	ah
Interdisciplinary research in the Social Sciences	0.194787948478145	ss
Anthropology	0.182768265610153	ss
Business and Management	0.181075859618622	ss
Musicology	0.163593371186628	ah
Art and Art History	0.148623055766161	ah
Media Studies and Communication	0.147223459677658	ah
History & Philosophy of Science	0.103658985782026	ah
Human Geography and Urban Studies	0.0993763577076543	ss
Sociology	0.099319709188152	ss
Science and Technology Studies	0.0786787510799088	ss
Environmental Studies	0.0773604770882913	ss
Interdisciplinary research in the Humanities	0.0770068644409984	ah
History	0.0765665166160674	ah
Demography	0.049417650701804	ss
Political Sciences and International Relations	0.0462946807644434	ss
Economics	0.0382981757515026	ss
Gender Studies	0.037990385462207	ss
Law	0.0341311106569155	ss
Religious Studies and Theology	0.0292457423350396	ah
Social Statistics and Informatics	0.0230786068452256	ss
Film and Theatre Studies	0.0155575717393073	ah
Cultural Studies	0.0100656866019604	ah
Classical Studies	0.00423730925876994	ah
