discipline	perc	type
Other	84.2662540578276	other
Digital Humanities	3.65886957313195	dh
Psychology	3.05722058247776	ss
Linguistics	2.47234827306735	ah
Pedagogical & Educational Research	1.24823203757401	ss
Philosophy	0.722571119403754	ah
Library and Information Science	0.642299485250258	ah
Anthropology	0.504952002176005	ss
Business and Management	0.38795849640485	ss
Archaeology	0.387027644240723	ah
Media Studies and Communication	0.318425645630531	ah
Musicology	0.292770243621255	ah
Interdisciplinary research in the Social Sciences	0.287866442185189	ss
History & Philosophy of Science	0.225013399674368	ah
Art and Art History	0.202728766030854	ah
Economics	0.182456874456514	ss
Literature	0.172137056636924	ah
Sociology	0.167337996590753	ss
Science and Technology Studies	0.110116691758634	ss
Political Sciences and International Relations	0.104177953454373	ss
History	0.0998799446965481	ah
Human Geography and Urban Studies	0.0917797249826028	ss
Gender Studies	0.0821316967671767	ss
Environmental Studies	0.0813633743459917	ss
Law	0.0690715289786933	ss
Demography	0.0626543950472241	ss
Social Statistics and Informatics	0.0330559229712782	ss
Religious Studies and Theology	0.0288219410818852	ah
Interdisciplinary research in the Humanities	0.0198683581317607	ah
Film and Theatre Studies	0.00830707575041804	ah
Classical Studies	0.00632060111444851	ah
Cultural Studies	0.00598109454030099	ah
