discipline	perc	type
Linguistics	36.1055449185068	ah
Digital Humanities	22.0004000800156	ss
Psychology	12.9006003220843	ss
Pedagogical & Educational Research	8.70865082107313	ss
Philosophy	2.68739462178145	ah
Literature	2.27378809095148	ah
Archaeology	2.06310814832516	ah
Anthropology	1.63368893114839	ss
Musicology	1.50049057430531	ah
Art and Art History	1.34717852661439	ah
Interdisciplinary research in the Social Sciences	1.11767577180658	ss
History & Philosophy of Science	0.937965370851928	ah
Media Studies and Communication	0.933194431093992	ah
History	0.65746482629858	ah
Interdisciplinary research in the Humanities	0.596424046714093	ah
Human Geography and Urban Studies	0.543947173273026	ss
Sociology	0.535425988516595	ss
Environmental Studies	0.514850444836431	ss
Demography	0.453262369645636	ss
Science and Technology Studies	0.393048306631015	ss
Gender Studies	0.316444241229192	ss
Law	0.300250526295729	ss
Library and Information Science	0.28906214143261	ah
Religious Studies and Theology	0.268244125015474	ah
Social Statistics and Informatics	0.211678699376235	ss
Business and Management	0.19974904071723	ss
Political Sciences and International Relations	0.1504300860172	ss
Film and Theatre Studies	0.142695205707805	ah
Economics	0.0925553075983144	ss
Cultural Studies	0.085921946294019	ah
Classical Studies	0.0388649158403101	ah
