discipline	perc	type
Other	86.9646167804056	other
Linguistics	4.05098559087565	ah
Digital Humanities	2.85353634965098	dh
Psychology	1.58714377413841	ss
Pedagogical & Educational Research	0.993301322164117	ss
Library and Information Science	0.798896480427804	ah
Philosophy	0.298086296962089	ah
Literature	0.262859453276012	ah
Archaeology	0.238899103342328	ah
Interdisciplinary research in the Social Sciences	0.198171055011028	ss
Anthropology	0.185942612474116	ss
Business and Management	0.184220812519504	ss
Musicology	0.166434685585809	ah
Art and Art History	0.151204363464239	ah
Media Studies and Communication	0.149780458979311	ah
History & Philosophy of Science	0.105459350715951	ah
Human Geography and Urban Studies	0.101102341309831	ss
Sociology	0.101044708910279	ss
Science and Technology Studies	0.0800452555215704	ss
Environmental Studies	0.0787040855479991	ss
Interdisciplinary research in the Humanities	0.0783443313027967	ah
History	0.0778963354502803	ah
Demography	0.0502759439290556	ss
Political Sciences and International Relations	0.0470987337777616	ss
Economics	0.0389633442570221	ss
Gender Studies	0.0386502082194571	ss
Law	0.0347239049459879	ss
Religious Studies and Theology	0.0297536868086362	ah
Social Statistics and Informatics	0.0234794395774245	ss
Film and Theatre Studies	0.0158277779969236	ah
Cultural Studies	0.0102405089683701	ah
Classical Studies	0.00431090348647854	ah
