discipline	perc	type
Digital Humanities	33.7644341801388	dh
Linguistics	32.3606070603763	ah
Psychology	9.34235125921046	ss
Library and Information Science	3.63972286374136	ah
Pedagogical & Educational Research	3.05674694820194	ss
Philosophy	2.38337182448039	ah
Interdisciplinary research in the Social Sciences	1.61135938734092	ss
Media Studies and Communication	1.46432320566271	ah
History	1.22434839986804	ah
Musicology	1.17782909930717	ah
Archaeology	1.00132969417035	ah
History & Philosophy of Science	0.999230177059283	ah
Anthropology	0.978235005948638	ss
Science and Technology Studies	0.803485198404373	ss
Sociology	0.746298351379188	ss
Environmental Studies	0.701098747288128	ss
Demography	0.664147246133394	ss
Human Geography and Urban Studies	0.631814682623001	ss
Business and Management	0.577367205542729	ss
Art and Art History	0.472451336192679	ah
Social Statistics and Informatics	0.420113373924	ss
Law	0.415704387990765	ss
Literature	0.362916529198287	ah
Interdisciplinary research in the Humanities	0.331903662157706	ah
Political Sciences and International Relations	0.316727152754869	ss
Economics	0.310578566929608	ss
Gender Studies	0.128670405806665	ss
Cultural Studies	0.0732431540745634	ah
Film and Theatre Studies	0.0395908940943586	ah
