discipline	perc	type
Other	95.9469831701515	other
Digital Humanities	1.36847819982402	dh
Linguistics	1.31158085039808	ah
Psychology	0.378647068839329	ss
Library and Information Science	0.147518580227268	ah
Pedagogical & Educational Research	0.123890468256494	ss
Philosophy	0.0965984611640486	ah
Interdisciplinary research in the Social Sciences	0.0653086671582654	ss
Media Studies and Communication	0.0593492659688813	ah
History	0.049623046702628	ah
Musicology	0.0477376116217682	ah
Archaeology	0.040584061026991	ah
History & Philosophy of Science	0.040498967245134	ah
Anthropology	0.0396480294265642	ss
Science and Technology Studies	0.0325653903166679	ss
Sociology	0.0302475977822776	ss
Environmental Studies	0.0284156502214423	ss
Demography	0.0269179996607594	ss
Human Geography and Urban Studies	0.0256075554201618	ss
Business and Management	0.0234007900106707	ss
Art and Art History	0.0191485321687317	ah
Social Statistics and Informatics	0.0170272657495826	ss
Law	0.0168485688076829	ss
Literature	0.0147090680067073	ah
Interdisciplinary research in the Humanities	0.0134521112861341	ah
Political Sciences and International Relations	0.0128370048058536	ss
Economics	0.0125878015875582	ss
Gender Studies	0.00521503320237804	ss
Cultural Studies	0.00296855736135365	ah
Film and Theatre Studies	0.0016046256007317	ah
