discipline	perc	type
Digital Humanities	41.1563507202526	dh
Linguistics	20.0190751825298	ah
Psychology	13.6354666842071	ss
Pedagogical & Educational Research	4.27218312175228	ss
Anthropology	3.05950380606698	ss
Philosophy	2.26928895612708	ah
Media Studies and Communication	1.66833101122386	ah
Interdisciplinary research in the Social Sciences	1.20460674627615	ss
Library and Information Science	1.15437742550812	ah
Archaeology	1.06647611416407	ah
History & Philosophy of Science	1.00638031967375	ah
Literature	0.986647372229165	ah
History	0.976780898506874	ah
Sociology	0.839547218551362	ss
Business and Management	0.799184371505624	ss
Musicology	0.710386108004999	ah
Art and Art History	0.621587844504374	ah
Science and Technology Studies	0.513953585715738	ss
Human Geography and Urban Studies	0.504087111993446	ss
Environmental Studies	0.504087111993446	ss
Interdisciplinary research in the Humanities	0.503190159836874	ah
Economics	0.484354164548863	ss
Political Sciences and International Relations	0.473590738669999	ss
Demography	0.46462121710428	ss
Social Statistics and Informatics	0.336357058714488	ss
Gender Studies	0.276261264224166	ss
Law	0.236795369335	ss
Classical Studies	0.157863579556666	ah
Religious Studies and Theology	0.0591988423337499	ah
Film and Theatre Studies	0.0394658948891666	ah
