discipline	perc	type
Other	91.2517334837121	other
Digital Humanities	3.60046724938571	dh
Linguistics	1.75132205106368	ah
Psychology	1.19286696627403	ss
Pedagogical & Educational Research	0.373741965554742	ss
Anthropology	0.2676535470307	ss
Philosophy	0.198523445906676	ah
Media Studies and Communication	0.145950043235738	ah
Interdisciplinary research in the Social Sciences	0.105382208637417	ss
Library and Information Science	0.100988013787309	ah
Archaeology	0.0932981727996197	ah
History & Philosophy of Science	0.0880408325325259	ah
Literature	0.0863145416985548	ah
History	0.0854513962815692	ah
Sociology	0.073445828208952	ss
Business and Management	0.0699147787758294	ss
Musicology	0.0621464700229594	ah
Art and Art History	0.0543781612700895	ah
Science and Technology Studies	0.044962029448429	ss
Environmental Studies	0.0440988840314434	ss
Human Geography and Urban Studies	0.0440988840314434	ss
Interdisciplinary research in the Humanities	0.0440204162662629	ah
Economics	0.0423725931974723	ss
Political Sciences and International Relations	0.0414309800153063	ss
Demography	0.0406463023635012	ss
Social Statistics and Informatics	0.0294254119426891	ss
Gender Studies	0.0241680716755953	ss
Law	0.0207154900076531	ss
Classical Studies	0.0138103266717688	ah
Religious Studies and Theology	0.00517887250191329	ah
Film and Theatre Studies	0.00345258166794219	ah
