discipline	perc	type
Other	83.6260189288252	other
Linguistics	3.57969983770081	ah
Digital Humanities	3.55234604372959	dh
Psychology	3.28519065594397	ss
Pedagogical & Educational Research	1.18849195494526	ss
Philosophy	0.782014576532874	ah
Anthropology	0.497993778807826	ss
Literature	0.317425582483845	ah
Business and Management	0.314872561713198	ss
Library and Information Science	0.310495954677802	ah
Media Studies and Communication	0.275941757970315	ah
Art and Art History	0.239983952440869	ah
Interdisciplinary research in the Social Sciences	0.237707232619426	ss
Musicology	0.237066214417272	ah
Archaeology	0.213818252551224	ah
History & Philosophy of Science	0.185580295542547	ah
Economics	0.168654099394293	ss
History	0.141631866562114	ah
Sociology	0.126103753216833	ss
Interdisciplinary research in the Humanities	0.118837038252761	ah
Political Sciences and International Relations	0.110630900061394	ss
Science and Technology Studies	0.103065780072181	ss
Human Geography and Urban Studies	0.0858632829747221	ss
Gender Studies	0.0771984852076758	ss
Law	0.0595704846484428	ss
Environmental Studies	0.0566859027387501	ss
Religious Studies and Theology	0.0334324148537179	ah
Demography	0.0197278877731856	ss
Social Statistics and Informatics	0.0188768808496364	ss
Film and Theatre Studies	0.0133729659414871	ah
Cultural Studies	0.0110630900061394	ah
Classical Studies	0.0106375865443648	ah
