discipline	perc	type
Other	89.3814951391215	other
Linguistics	3.58656726742546	ah
Digital Humanities	3.11766677841099	dh
Psychology	1.02691708038674	ss
Pedagogical & Educational Research	0.623915813951013	ss
Library and Information Science	0.359361115101979	ah
Philosophy	0.231204337808427	ah
Literature	0.151260582454012	ah
History	0.13364533059471	ah
Interdisciplinary research in the Humanities	0.131665416194414	ah
Archaeology	0.123066303086417	ah
Art and Art History	0.119506568970196	ah
Musicology	0.11620079923801	ah
Science and Technology Studies	0.105316913689357	ss
Media Studies and Communication	0.104425619636816	ah
Anthropology	0.10276608332257	ss
Business and Management	0.0997085335419226	ss
Interdisciplinary research in the Social Sciences	0.0890219742884843	ss
History & Philosophy of Science	0.0576414496964278	ah
Sociology	0.0568888282599311	ss
Political Sciences and International Relations	0.0447221202333505	ss
Religious Studies and Theology	0.0386781710113925	ah
Law	0.0319579912271833	ss
Human Geography and Urban Studies	0.0287332482270464	ss
Social Statistics and Informatics	0.0229985913442165	ss
Environmental Studies	0.0219121881458455	ss
Economics	0.0216328273234072	ss
Cultural Studies	0.0186639635181371	ah
Film and Theatre Studies	0.0184245113846186	ah
Gender Studies	0.0170942217539602	ss
Classical Studies	0.0163758653534047	ah
Demography	0.000564365297855072	ss
