discipline	perc	type
Linguistics	37.9412509733647	ah
Digital Humanities	20.6508176265841	dh
Psychology	10.8634568295039	ss
Pedagogical & Educational Research	6.60022375667277	ss
Library and Information Science	3.80157661672402	ah
Philosophy	2.44584337971083	ah
Literature	1.60014166565029	ah
History	1.41379504451678	ah
Interdisciplinary research in the Humanities	1.39285010648377	ah
Archaeology	1.30188259235345	ah
Art and Art History	1.26422520147481	ah
Musicology	1.22925442587883	ah
Science and Technology Studies	1.11411696925914	ss
Media Studies and Communication	1.10468822895761	ah
Anthropology	1.08713247742603	ss
Business and Management	1.05478754843369	ss
Interdisciplinary research in the Social Sciences	0.941737549243944	ss
History & Philosophy of Science	0.609772115321463	ah
Sociology	0.601810352253638	ss
Political Sciences and International Relations	0.473102290104979	ss
Religious Studies and Theology	0.409165110846331	ah
Law	0.338074285339009	ss
Human Geography and Urban Studies	0.303960667952259	ss
Social Statistics and Informatics	0.243295402305711	ss
Environmental Studies	0.231802659152102	ss
Economics	0.228847382341174	ss
Cultural Studies	0.197440636463423	ah
Film and Theatre Studies	0.194907542054056	ah
Gender Studies	0.180834795335352	ss
Classical Studies	0.173235512107252	ah
Demography	0.00597025618369279	ss
