discipline	perc	type
Other	90.435571858836	other
Linguistics	3.62886368520633	ah
Digital Humanities	1.97513261245757	dh
Psychology	1.03902752210432	ss
Pedagogical & Educational Research	0.631273658363033	ss
Library and Information Science	0.36359906373788	ah
Philosophy	0.233930932497871	ah
Literature	0.153044399767954	ah
History	0.135221411096151	ah
Interdisciplinary research in the Humanities	0.133218147548773	ah
Archaeology	0.124517625027975	ah
Art and Art History	0.12091591093755	ah
Musicology	0.117571156235265	ah
Science and Technology Studies	0.10655891693331	ss
Media Studies and Communication	0.105657111842553	ah
Anthropology	0.103978004602673	ss
Business and Management	0.100884397111891	ss
Interdisciplinary research in the Social Sciences	0.0900718111758004	ss
History & Philosophy of Science	0.0583212157947799	ah
Sociology	0.057559718687388	ss
Political Sciences and International Relations	0.0452495285712941	ss
Religious Studies and Theology	0.0391343030056133	ah
Law	0.0323348720850049	ss
Human Geography and Urban Studies	0.0290720996636974	ss
Social Statistics and Informatics	0.0232698139242867	ss
Environmental Studies	0.0221705987639112	ss
Economics	0.0218879434369575	ss
Cultural Studies	0.0188840677960019	ah
Film and Theatre Studies	0.0186417918014701	ah
Gender Studies	0.0172958140540716	ss
Classical Studies	0.0165689860704764	ah
Demography	0.000571020862532725	ss
