discipline	perc	type
Digital Humanities	23.7893510134018	dh
Linguistics	22.2948392888077	ah
Psychology	15.5317406573332	ss
Pedagogical & Educational Research	5.88765177404369	ss
Philosophy	4.44337706105609	ah
Anthropology	3.7887353988395	ss
Literature	3.05296146396007	ah
Media Studies and Communication	1.75342775619946	ah
Art and Art History	1.72112946660578	ah
Business and Management	1.71971212145073	ss
Musicology	1.70081418605018	ah
Library and Information Science	1.69042032157987	ah
Interdisciplinary research in the Social Sciences	1.52476273785271	ss
Interdisciplinary research in the Humanities	1.33702892958944	ah
Archaeology	1.26822326479014	ah
History & Philosophy of Science	1.16836485613947	ah
History	1.08190680168192	ah
Economics	1.0093215498025	ss
Sociology	0.912469630874646	ss
Political Sciences and International Relations	0.859856060725367	ss
Science and Technology Studies	0.617661838625949	ss
Human Geography and Urban Studies	0.602071041920489	ss
Gender Studies	0.538591158915889	ss
Environmental Studies	0.44616307486589	ss
Law	0.278744547158223	ss
Social Statistics and Informatics	0.213718469439032	ss
Demography	0.206159295278809	ss
Classical Studies	0.181892628230366	ah
Religious Studies and Theology	0.170081418605018	ah
Film and Theatre Studies	0.122836580103624	ah
Cultural Studies	0.0859856060725367	ah
