discipline	perc	type
Other	44.2144658121538	other
Digital Humanities	13.2710165426481	dh
Linguistics	12.4372951935833	ah
Psychology	8.6644644943643	ss
Pedagogical & Educational Research	3.28445799327051	ss
Philosophy	2.47876162949038	ah
Anthropology	2.11356628120666	ss
Literature	1.70311086121923	ah
Media Studies and Communication	0.978159040393842	ah
Art and Art History	0.960141267010469	ah
Business and Management	0.959350593444443	ss
Musicology	0.948808279230768	ah
Library and Information Science	0.943010006413247	ah
Interdisciplinary research in the Social Sciences	0.850597038408372	ss
Interdisciplinary research in the Humanities	0.745868730617521	ah
Archaeology	0.707485122957731	ah
History & Philosophy of Science	0.651778576260469	ah
History	0.603547488732905	ah
Economics	0.56305541823038	ss
Sociology	0.509026057885294	ss
Political Sciences and International Relations	0.479675296722222	ss
Science and Technology Studies	0.344565956151962	ss
Human Geography and Urban Studies	0.335868546925679	ss
Gender Studies	0.300455955089743	ss
Environmental Studies	0.248894454662859	ss
Law	0.155499134651709	ss
Social Statistics and Informatics	0.119223989834654	ss
Demography	0.115007064149184	ss
Classical Studies	0.101469774306624	ah
Religious Studies and Theology	0.0948808279230768	ah
Film and Theatre Studies	0.0685250423888888	ah
Cultural Studies	0.0479675296722222	ah
