discipline	perc	type
Linguistics	27.7888592919059	ah
COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	22.7023049059858	sc
LINGUISTICS	17.2721590027973	sc
LANGUAGE & LINGUISTICS THEORY	6.9947642142767	sc
COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	4.50978219078366	sc
Psychology	3.72514040536229	ss
HUMANITIES, MULTIDISCIPLINARY	2.63837597556051	sc
EDUCATION & EDUCATIONAL RESEARCH	1.99412137687713	sc
THEATER	1.99412137687713	sc
Pedagogical & Educational Research	1.76886821156962	ss
Literature	1.64367108241382	ah
History	0.851292336959873	ah
Interdisciplinary research in the Humanities	0.775659109834903	ah
Art and Art History	0.615541958793742	ah
Anthropology	0.521084164030956	ss
Philosophy	0.480114803476659	ah
Library and Information Science	0.456213189147429	ah
Musicology	0.424833445978558	ah
Film and Theatre Studies	0.406665514520951	ah
Cultural Studies	0.403125235804463	ah
Archaeology	0.29772476137253	ah
History & Philosophy of Science	0.273996116421524	ah
Interdisciplinary research in the Social Sciences	0.252843817781423	ss
Media Studies and Communication	0.191908111388539	ah
Sociology	0.182521008731184	ss
Environmental Studies	0.151532075550497	ss
Human Geography and Urban Studies	0.146136463602909	ss
Demography	0.137124845051848	ss
Religious Studies and Theology	0.0888288114318803	ah
Classical Studies	0.0781322473954326	ah
Science and Technology Studies	0.053338248761633	ss
Gender Studies	0.0502238164745469	ss
Social Statistics and Informatics	0.0443266302105727	ss
Business and Management	0.0370120047632835	ss
Political Sciences and International Relations	0.0309132052937033	ss
Economics	0.0167400428093676	ss
