discipline	perc	type
Linguistics	14.6143525803978	ah
COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	7.98393296186497	sc
Psychology	6.16148166081583	ss
COMPUTER SCIENCE, INFORMATION SYSTEMS	4.10460388467236	sc
LINGUISTICS	3.95240208822096	sc
ENGINEERING, ELECTRICAL & ELECTRONIC	3.73822953379796	sc
COMPUTER SCIENCE, SOFTWARE ENGINEERING	3.69139821181289	sc
COMPUTER SCIENCE, THEORY & METHODS	3.48852976959318	sc
INFORMATION SCIENCE & LIBRARY SCIENCE	3.21743293586078	sc
Pedagogical & Educational Research	3.07367953839323	ss
COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	3.06058837904016	sc
PSYCHOLOGY, EXPERIMENTAL	2.41221680052301	sc
Literature	2.04799084625981	ah
LANGUAGE & LINGUISTICS THEORY	2.02767512646474	sc
PSYCHOLOGY, MULTIDISCIPLINARY	1.75011880004473	sc
STATISTICS & PROBABILITY	1.46569926264415	sc
Anthropology	1.20966351567973	ss
EDUCATION & EDUCATIONAL RESEARCH	1.16674586669649	sc
MULTIDISCIPLINARY SCIENCES	1.10215093982056	sc
PHYSICS, MULTIDISCIPLINARY	0.99415629644986	sc
LITERATURE	0.93258925677124	sc
Philosophy	0.833232457733118	ah
THEATER	0.829641092062726	sc
HUMANITIES, MULTIDISCIPLINARY	0.736785884678577	sc
COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	0.685311802324322	sc
COMPUTER SCIENCE, CYBERNETICS	0.66007940901341	sc
SOCIOLOGY	0.637874902899809	sc
MATHEMATICS, APPLIED	0.611027636417001	sc
Art and Art History	0.577022844000203	ah
NEUROSCIENCES	0.567224201629261	sc
Musicology	0.544728241133031	ah
Archaeology	0.513621874231967	ah
PSYCHOLOGY, SOCIAL	0.506666457683076	sc
MEDICINE, GENERAL & INTERNAL	0.478406177174857	sc
AUTOMATION & CONTROL SYSTEMS	0.451155192399074	sc
SOCIAL SCIENCES, INTERDISCIPLINARY	0.429959982017909	sc
MATHEMATICAL & COMPUTATIONAL BIOLOGY	0.402910856388613	sc
COMMUNICATION	0.393625335650198	sc
History	0.392420495616232	ah
CULTURAL STUDIES	0.389588152720453	sc
PSYCHOLOGY, EDUCATIONAL	0.379495195396089	sc
POLITICAL SCIENCE	0.377476603931216	sc
GEOGRAPHY	0.376467308198779	sc
MANAGEMENT	0.37343942100147	sc
MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	0.359712999040335	sc
CLINICAL NEUROLOGY	0.351234914887869	sc
History & Philosophy of Science	0.345801557519265	ah
ACOUSTICS	0.333067591704014	sc
HISTORY	0.331049000239141	sc
ANTHROPOLOGY	0.329030408774268	sc
TELECOMMUNICATIONS	0.315909564252595	sc
BIOLOGY	0.31187238132285	sc
MEDICAL INFORMATICS	0.302586860584434	sc
Interdisciplinary research in the Humanities	0.295579919414804	ah
BIOCHEMISTRY & MOLECULAR BIOLOGY	0.277556326420012	sc
OPERATIONS RESEARCH & MANAGEMENT SCIENCE	0.270894974585932	sc
PHYSICS, MATHEMATICAL	0.264839200191313	sc
BIOCHEMICAL RESEARCH METHODS	0.263628045312389	sc
MATHEMATICS	0.252323933109102	sc
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY	0.249296045911792	sc
Media Studies and Communication	0.232380700846987	ah
REHABILITATION	0.231128722727937	sc
BIOTECHNOLOGY & APPLIED MICROBIOLOGY	0.230321286141988	sc
PSYCHOLOGY, DEVELOPMENTAL	0.221035765403573	sc
PSYCHIATRY	0.216998582473827	sc
EVOLUTIONARY BIOLOGY	0.215989286741391	sc
Interdisciplinary research in the Social Sciences	0.207161800794531	ss
PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	0.205896329417027	sc
ART	0.175617457443935	sc
PHILOSOPHY	0.175617457443935	sc
ECONOMICS	0.168956105609854	sc
GENETICS & HEREDITY	0.16855238731688	sc
PSYCHOLOGY, CLINICAL	0.165524500119571	sc
HEALTH CARE SCIENCES & SERVICES	0.163304049508211	sc
BUSINESS	0.159468725724952	sc
HISTORY & PHILOSOPHY OF SCIENCE	0.157450134260079	sc
OPTICS	0.145742303763817	sc
BEHAVIORAL SCIENCES	0.142310698273533	sc
MUSIC	0.139282811076224	sc
Sociology	0.129487588632969	ss
LAW	0.128180558019424	sc
PSYCHOLOGY, APPLIED	0.127171262286987	sc
PHARMACOLOGY & PHARMACY	0.127171262286987	sc
PHYSICS, FLUIDS & PLASMAS	0.123537797650216	sc
RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	0.123537797650216	sc
PHYSICS, CONDENSED MATTER	0.119096896427496	sc
Film and Theatre Studies	0.11824061424594	ah
LOGIC	0.111022530568005	sc
ECOLOGY	0.106985347638259	sc
MATERIALS SCIENCE, MULTIDISCIPLINARY	0.106985347638259	sc
ERGONOMICS	0.102948164708513	sc
LITERATURE, BRITISH ISLES	0.102948164708513	sc
ASIAN STUDIES	0.100929573243641	sc
Environmental Studies	0.100031913371702	ss
Human Geography and Urban Studies	0.100031913371702	ss
ENGINEERING, MULTIDISCIPLINARY	0.0989109817787678	sc
NURSING	0.096892390313895	sc
Political Sciences and International Relations	0.0968405762014277	ss
Gender Studies	0.0945348481966318	ss
Demography	0.0931723725574341	ss
FOLKLORE	0.0908366159192766	sc
CHEMISTRY, ANALYTICAL	0.0898273201868402	sc
ENVIRONMENTAL STUDIES	0.0847808415246581	sc
Cultural Studies	0.083741158974181	ah
EDUCATION, SPECIAL	0.0797343628624761	sc
SOCIAL SCIENCES, BIOMEDICAL	0.0797343628624761	sc
IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY	0.0791287854230143	sc
ENVIRONMENTAL SCIENCES	0.0767064756651669	sc
LITERATURE, ROMANCE	0.0767064756651669	sc
ROBOTICS	0.0767064756651669	sc
PHYSICS, APPLIED	0.0746878842002941	sc
LITERARY THEORY & CRITICISM	0.0726692927354213	sc
MEDICINE, RESEARCH & EXPERIMENTAL	0.0696414055381121	sc
FILM, RADIO, TELEVISION	0.0686321098056756	sc
CLASSICS	0.0666135183408028	sc
LITERARY REVIEWS	0.0666135183408028	sc
MEDIEVAL & RENAISSANCE STUDIES	0.0666135183408028	sc
NUTRITION & DIETETICS	0.0666135183408028	sc
WOMENS STUDIES	0.0666135183408028	sc
ONCOLOGY	0.0656042226083664	sc
Library and Information Science	0.0650647621353342	ah
BIOPHYSICS	0.06459492687593	sc
ENGINEERING, CHEMICAL	0.06459492687593	sc
Classical Studies	0.0645603841342852	ah
REMOTE SENSING	0.0635856311434936	sc
PSYCHOLOGY, MATHEMATICAL	0.0625763354110572	sc
CHEMISTRY, MULTIDISCIPLINARY	0.0625763354110572	sc
REGIONAL & URBAN PLANNING	0.0625763354110572	sc
SOCIAL SCIENCES, MATHEMATICAL METHODS	0.0625763354110572	sc
SPECTROSCOPY	0.0625763354110572	sc
ETHNIC STUDIES	0.0605577439461844	sc
INTERNATIONAL RELATIONS	0.0605577439461844	sc
LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN	0.0605577439461844	sc
SOIL SCIENCE	0.0605577439461844	sc
HOSPITALITY, LEISURE, SPORT & TOURISM	0.0585391524813116	sc
GERONTOLOGY	0.0585391524813116	sc
INSTRUMENTS & INSTRUMENTATION	0.0585391524813116	sc
ENGINEERING, BIOMEDICAL	0.0579335750418497	sc
GEOSCIENCES, MULTIDISCIPLINARY	0.0575298567488752	sc
ARCHAEOLOGY	0.0565205610164388	sc
URBAN STUDIES	0.054501969551566	sc
IMMUNOLOGY	0.0524833780866931	sc
DEVELOPMENT STUDIES	0.0514740823542567	sc
CHEMISTRY, PHYSICAL	0.0484461951569475	sc
OPHTHALMOLOGY	0.0484461951569475	sc
SOCIAL ISSUES	0.0484461951569475	sc
MECHANICS	0.0448127305201765	sc
ENGINEERING, INDUSTRIAL	0.0444090122272019	sc
ORTHOPEDICS	0.0423904207623291	sc
ETHICS	0.0403718292974563	sc
ZOOLOGY	0.0393625335650199	sc
HEMATOLOGY	0.0383532378325834	sc
AREA STUDIES	0.0363346463677106	sc
ENDOCRINOLOGY & METABOLISM	0.0363346463677106	sc
GEOGRAPHY, PHYSICAL	0.0363346463677106	sc
RELIGION	0.0363346463677106	sc
TOXICOLOGY	0.0363346463677106	sc
SOCIAL WORK	0.0353253506352742	sc
INFECTIOUS DISEASES	0.0343160549028378	sc
FORESTRY	0.0343160549028378	sc
SURGERY	0.0343160549028378	sc
ASTRONOMY & ASTROPHYSICS	0.0333067591704014	sc
MEDICINE, LEGAL	0.0333067591704014	sc
ENGINEERING, MANUFACTURING	0.0312881677055286	sc
AGRICULTURE, MULTIDISCIPLINARY	0.0302788719730922	sc
ENGINEERING, MECHANICAL	0.0302788719730922	sc
PEDIATRICS	0.0302788719730922	sc
EDUCATION, SCIENTIFIC DISCIPLINES	0.0282602805082194	sc
PSYCHOLOGY, BIOLOGICAL	0.0282602805082194	sc
WATER RESOURCES	0.0282602805082194	sc
PUBLIC ADMINISTRATION	0.027250984775783	sc
Science and Technology Studies	0.026392725218533	ss
CRYSTALLOGRAPHY	0.0262416890433466	sc
ARCHITECTURE	0.0242230975784738	sc
BUSINESS, FINANCE	0.0242230975784738	sc
DANCE	0.0242230975784738	sc
ENGINEERING, AEROSPACE	0.0242230975784738	sc
ENTOMOLOGY	0.0242230975784738	sc
LITERATURE, AMERICAN	0.0242230975784738	sc
MEDICAL LABORATORY TECHNOLOGY	0.0242230975784738	sc
OTORHINOLARYNGOLOGY	0.0242230975784738	sc
PATHOLOGY	0.0242230975784738	sc
NEUROIMAGING	0.0242230975784738	sc
Economics	0.0225594524105599	ss
CRIMINOLOGY & PENOLOGY	0.0222045061136009	sc
GERIATRICS & GERONTOLOGY	0.0222045061136009	sc
PHYSICS, PARTICLES & FIELDS	0.0211952103811645	sc
VIROLOGY	0.0201859146487281	sc
Social Statistics and Informatics	0.0195331844042652	ss
TRANSPORTATION	0.0185710414768299	sc
DEMOGRAPHY	0.0181673231838553	sc
FISHERIES	0.0181673231838553	sc
INTEGRATIVE & COMPLEMENTARY MEDICINE	0.0181673231838553	sc
PRIMARY HEALTH CARE	0.0181673231838553	sc
RHEUMATOLOGY	0.0181673231838553	sc
ENGINEERING, CIVIL	0.0175617457443935	sc
Business and Management	0.0171488520356695	ss
CHEMISTRY, MEDICINAL	0.0161487317189825	sc
ELECTROCHEMISTRY	0.0161487317189825	sc
GEOCHEMISTRY & GEOPHYSICS	0.0161487317189825	sc
METEOROLOGY & ATMOSPHERIC SCIENCES	0.0161487317189825	sc
CHEMISTRY, ORGANIC	0.0151394359865461	sc
CONSTRUCTION & BUILDING TECHNOLOGY	0.0151394359865461	sc
METALLURGY & METALLURGICAL ENGINEERING	0.0151394359865461	sc
MARINE & FRESHWATER BIOLOGY	0.0141301402541097	sc
OCEANOGRAPHY	0.0141301402541097	sc
ANDROLOGY	0.0121115487892369	sc
CARDIAC & CARDIOVASCULAR SYSTEMS	0.0121115487892369	sc
CRITICAL CARE MEDICINE	0.0121115487892369	sc
ENERGY & FUELS	0.0121115487892369	sc
FAMILY STUDIES	0.0121115487892369	sc
FOOD SCIENCE & TECHNOLOGY	0.0121115487892369	sc
HISTORY OF SOCIAL SCIENCES	0.0121115487892369	sc
LITERATURE, SLAVIC	0.0121115487892369	sc
MATERIALS SCIENCE, CERAMICS	0.0121115487892369	sc
MATERIALS SCIENCE, COMPOSITES	0.0121115487892369	sc
PARASITOLOGY	0.0121115487892369	sc
PERIPHERAL VASCULAR DISEASE	0.0121115487892369	sc
POLYMER SCIENCE	0.0121115487892369	sc
TRANSPORTATION SCIENCE & TECHNOLOGY	0.011505971349775	sc
CELL BIOLOGY	0.0100929573243641	sc
CHEMISTRY, APPLIED	0.0100929573243641	sc
HEALTH POLICY & SERVICES	0.0100929573243641	sc
MICROBIOLOGY	0.0100929573243641	sc
PLANT SCIENCES	0.0100929573243641	sc
Religious Studies and Theology	0.0100875600209821	ah
PHYSIOLOGY	0.00908366159192766	sc
ANESTHESIOLOGY	0.00807436585949125	sc
QUANTUM SCIENCE & TECHNOLOGY	0.00706507012705485	sc
AGRICULTURAL ENGINEERING	0.00605577439461844	sc
BIODIVERSITY CONSERVATION	0.00605577439461844	sc
ENGINEERING, ENVIRONMENTAL	0.00605577439461844	sc
ENGINEERING, OCEAN	0.00605577439461844	sc
GASTROENTEROLOGY & HEPATOLOGY	0.00605577439461844	sc
LITERATURE, GERMAN, DUTCH, SCANDINAVIAN	0.00605577439461844	sc
MATERIALS SCIENCE, COATINGS & FILMS	0.00605577439461844	sc
MATERIALS SCIENCE, PAPER & WOOD	0.00605577439461844	sc
MEDICAL ETHICS	0.00605577439461844	sc
MINERALOGY	0.00605577439461844	sc
OBSTETRICS & GYNECOLOGY	0.00605577439461844	sc
PHYSICS, ATOMIC, MOLECULAR & CHEMICAL	0.00605577439461844	sc
PSYCHOLOGY, PSYCHOANALYSIS	0.00605577439461844	sc
