	26215	317368	321028	351523	352386	372350	436025	472331	49628	565472
0	('science', 14)	('digital', 110)	('based', 603)	('authorship', 156)	('writing', 155)	('peirce', 27)	('theatre', 309)	('cataloging', 109)	('robot', 660)	('language', 66)
1	('l', 12)	('humanities', 76)	('text', 477)	('analysis', 128)	('computer', 103)	('education', 18)	('drama', 235)	('rda', 93)	('robots', 424)	('computer', 59)
2	('language', 11)	('text', 48)	('using', 451)	('word', 83)	('language', 93)	('semiotics', 17)	('research', 124)	('bibliographic', 77)	('human', 347)	('analysis', 40)
3	('religious', 11)	('reading', 45)	('extraction', 391)	('attribution', 82)	('learning', 67)	('new', 17)	('education', 104)	('library', 70)	('social', 240)	('english', 39)
4	('et', 10)	('history', 38)	('semantic', 376)	('text', 78)	('assisted', 54)	('learning', 16)	('writing', 93)	('frbr', 50)	('interaction', 178)	('based', 35)
5	('pp', 10)	('new', 37)	('information', 341)	('using', 74)	('teaching', 49)	('semiotic', 16)	('creative', 84)	('authority', 46)	('artificial', 120)	('spelling', 31)
6	('study', 8)	('data', 33)	('language', 259)	('language', 69)	('instruction', 46)	('l', 13)	('performance', 70)	('records', 41)	('based', 115)	('text', 29)
7	('french', 8)	('literature', 31)	('learning', 248)	('based', 69)	('students', 43)	('et', 12)	('development', 59)	('control', 40)	('using', 115)	('sotho', 28)
8	('poetry', 8)	('analysis', 30)	('data', 229)	('texts', 62)	('word', 40)	('rhetoric', 12)	('children', 58)	('access', 37)	('humanoid', 113)	('dictionary', 28)
9	('style', 7)	('english', 30)	('automatic', 227)	('corpus', 60)	('student', 34)	('metaphor', 11)	('based', 52)	('data', 35)	('design', 109)	('correction', 27)
