	123556	153223	183037	342751	369084	388805	389578	421182	424843	89050
0	('et', 344)	('brain', 2193)	('tuberculosis', 16846)	('carotid', 3843)	('surfaces', 2122)	('psychoanalytic', 262)	('vitro', 2698)	('properties', 1727)	('segmentation', 3283)	('military', 74)
1	('l', 335)	('metastases', 1486)	('mycobacterium', 8607)	('artery', 1903)	('curves', 1931)	('psychotherapy', 255)	('l', 2182)	('magnetic', 1689)	('image', 2487)	('health', 55)
2	('une', 146)	('cancer', 1191)	('patients', 2586)	('plaque', 1259)	('varieties', 1896)	('self', 237)	('regeneration', 1983)	('ferrite', 1196)	('based', 2221)	('veterans', 41)
3	('dans', 114)	('patients', 860)	('infection', 2453)	('coronary', 1146)	('bundles', 1495)	('psychoanalysis', 223)	('plant', 1662)	('synthesis', 789)	('using', 2217)	('among', 29)
4	('travail', 81)	('metastasis', 621)	('pulmonary', 1994)	('patients', 1046)	('manifolds', 1389)	('treatment', 172)	('somatic', 1451)	('nanoparticles', 743)	('images', 2005)	('education', 28)
5	('au', 70)	('cell', 581)	('treatment', 1902)	('imaging', 1044)	('moduli', 1310)	('theory', 158)	('culture', 1215)	('ferrites', 609)	('registration', 1248)	('life', 26)
6	('education', 58)	('radiosurgery', 554)	('drug', 1702)	('stenting', 824)	('spaces', 1256)	('commentary', 158)	('shoot', 1080)	('structural', 529)	('detection', 1157)	('service', 25)
7	('sur', 57)	('breast', 534)	('hiv', 1693)	('atherosclerotic', 817)	('ideals', 1164)	('clinical', 157)	('embryogenesis', 1072)	('effect', 509)	('brain', 988)	('evidence', 25)
8	('pour', 54)	('treatment', 518)	('resistant', 1526)	('stenosis', 807)	('cohomology', 996)	('social', 145)	('micropropagation', 668)	('method', 479)	('analysis', 814)	('conscription', 23)
9	('activite', 42)	('lung', 493)	('tb', 1424)	('atherosclerosis', 785)	('projective', 967)	('therapy', 137)	('plants', 640)	('films', 454)	('ct', 803)	('student', 20)
